Country Name,Country Code,Country Code.1,Region,Income Group,Sub-Region,INFORM: Hazard & Exposure risk score,INFORM: Vulnerability risk score,INFORM: Lack of Coping Capacity risk score,INFORM: Epidemic risk score,INFORM: Epidemic risk class,Death by communicable diseases (% of total),Diabetes prevalence (% of population ages 20 to 79),"Employment in agriculture, female (%)","Employment in agriculture, male (%)","Employment in industry, female (%)","Employment in industry, male (%)","Employment in services, female (%)","Employment in services, male (%)",Fixed broadband subscriptions (# per 100 people),Fixed telephone subscriptions (# per 100 people),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Labor force, total (#)",Mobile subscriptions (# per 100 people),Net migration (#),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Urban population (%),"Population, total (#)",Refugee population by country of asylum (#),"Wage and salaried workers, female (%)","Wage and salaried workers, male (%)",Handwashing with soap (%),Government health expenditure (%),Hospital bed density (#),"Medical doctors (# per 10,000)",Medical doctors (#),"Nursing and midwife personnel (# per 10,000)",Nurses (#),Policies to implement IHR (score out of 100),Financing to implement IHR (score out of 100),Financing to respond to health emergencies (score out of 100),IHR coordination (score out of 100),Lab testing access (score out of 100),Early warning surveillance (score out of 100),Mechanism for event management (score out of 100),Human Resources to implement IHR (score out of 100),Emergency preparedness planning (score out of 100),Management of health emergency response (score out of 100),Emergency resource mobilization (score out of 100),IHR case management (score out of 100),Infection prevention and control (score out of 100),Access to essential health services (score out of 100),Risk communication capacity (score out of 100),Transportation capacity (score out of 100),Health response at points of entry (score out of 100),Detection resources and alert (score out of 100),People affected by Natural Disasters.1,People affected by Natural Disasters.2,Humanitarian Aid (FTS).1,INFORM: Region Hazard & Exposure risk score,INFORM: Region Vulnerability risk score,INFORM: Region Lack of Coping Capacity risk score,INFORM: Region Epidemic risk score,INFORM: Income Group Hazard & Exposure risk score,INFORM: Income Group Vulnerability risk score,INFORM: Income Group Lack of Coping Capacity risk score,INFORM: Income Group Epidemic risk score,INFORM: Hazard & Exposure risk class,INFORM: Vulnerability risk class,INFORM: Lack of Coping Capacity risk class
Bahrain,BHR,BHR,Middle East & North Africa,High income: nonOECD,Western Asia,6.4,3.7,2.2,3.7,Medium,6.9,15.6,0.041999999,1.2159999609999999,1.081,41.68000031,91.25800323,57.10400009,11.76230339,17.50509415,1.7767283580000002,24050.75751,-3.110625106,70156170735.0,44700,978649,133.3409369,239000,19.25431012,78.319356,2.4263338780000003,40.29322667,1569439,263,96.83100128,97.29599762,100,10.47,20,9.257,1270,24.944000000000003,3422,80,80,100,100,80,100,20,80,100,80,100,80,80,100,60,80,100,80,0,0,0.0,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,,,,,High,Medium,Low
Bangladesh,BGD,BGD,South Asia,Low income,Southern Asia,5.8,6.6,4.6,5.6,High,25.6,9.2,57.49200058,30.52899933,55.24999905,22.73999977,24.72999954,46.73099899,6.343544324,0.8982994000000001,7.863708892999999,1698.262802,6.737017522,738000000000.0,4570,70009353,100.2447125,-1847503,27.70602248,67.13558688,5.15839064,33.12316361,161356039,906645,32.35599899,43.77099991,48,5.66,8,5.809,93741,4.124,57211,80,60,100,80,80,80,80,40,40,60,60,60,80,80,80,60,60,60,14000,4279567,17988.28,5.0375000000000005,5.1625,5.175,5.075,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,Very High,Medium
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,Eastern Europe,2.7,2.7,2.8,2.7,Low,2.5,5.0,7.402999877999999,14.57699966,3.286999948,41.93399811,73.80500031,43.48899841,33.86912852,47.48760052,3.04990555,6289.938553,3.1898130539999996,182000000000.0,19240,5036848,122.925228,43648,16.86594305,68.28890878,14.84514817,26.89016114,9483499,2234,97.23999786,94.43599701,98,13.79,110,51.905,48995,110.027,98875,100,80,100,100,100,100,100,100,100,80,80,100,100,100,100,100,100,100,50000,0,3.24,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Low,Low
Belgium,BEL,BEL,Europe & Central Asia,High income: OECD,Western Europe,3.4,4.0,1.9,3.0,Low,7.9,4.6,0.600000024,1.274000049,10.18899989,31.61700058,90.98799896,67.10800171,39.21686286,35.75590798,1.458405353,47518.63604,1.041719531,591000000000.0,51740,5100709,99.69668646,240000,17.05542276,64.1558335,18.78874374,18.30942846,11433256,42168,89.35900116,83.15599823,99,15.1,62,30.709,35069,194.614,210507,60,60,60,100,100,100,80,40,100,80,80,100,60,80,80,100,80,80,0,0,-11.66,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,Central America,3.2,4.4,6.0,4.4,Medium,19.4,17.1,4.7449998860000004,24.10700035,29.62200046,19.52099991,85.92400359999999,56.3730011,6.4369268360000005,5.447815157000001,3.035403657,4884.742421,1.071369529,2992485221.0,7810,178253,85.52696498,6000,30.27976537,64.98377585,4.736458777,0.0,383071,28,67.76699829,66.48400116,88,13.81,13,11.229000000000001,422,23.414,897,20,20,20,20,20,20,40,40,40,80,80,40,60,40,60,20,20,0,0,0,0.0,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,High
Benin,BEN,BEN,Sub-Saharan Africa,Low income,Western Africa,7.1,5.3,6.6,6.3,High,54.1,1.0,30.23600006,46.63700104,87.73200321,21.37299919,53.23500061,31.98900032,0.235384383,0.422357981,6.858002271,901.5438712000001,3.9751835960000004,27628119098.0,2410,4833197,82.38429039,-10000,42.44768239,54.29871231,3.253605297,17.06989539,11485048,1174,5.1329998969999995,16.5890007,16,9.55,5,0.7909999999999999,908,3.888,3410,20,40,40,80,80,80,20,60,40,40,0,20,40,20,40,0,0,20,0,0,40.1,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Bhutan,BTN,BTN,South Asia,Lower middle income,Southern Asia,3.9,3.8,4.6,4.1,Medium,20.9,10.3,63.61999893,49.69499969,71.47900009,11.17500019,26.21199989,39.13000107,1.43188916,2.918259569,3.027640595,3243.231125,1.822273166,6980310102.0,9250,379603,93.26155771,1600,25.77135373,68.22563455,6.003011712999999,0.0,754394,0,15.99199963,36.83499908,69,8.03,17,4.242,320,18.518,1397,60,40,80,60,80,80,80,60,60,60,40,60,60,80,60,60,60,20,0,0,0.0,5.0375000000000005,5.1625,5.175,5.075,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,Medium
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,Southern Europe,2.6,4.2,5.8,4.0,Medium,1.8,9.0,15.51900005,15.30000019,16.15399957,41.00899887,66.4960022,43.69100189,20.86551291,23.84334785,3.62354616,6065.672708,4.483914305,48467618797.0,14580,1306483,104.12563459999998,-107926,14.76621765,68.76346488,16.47031747,21.36259611,3323929,5229,79.25800323,78.70300293,95,14.11,35,21.616,7413,57.333,19057,40,60,80,40,40,40,20,20,20,40,20,20,20,60,20,0,0,40,0,759,133.14,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,High
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,Southern Africa,3.9,3.5,6.2,4.4,Medium,46.0,5.8,16.19000053,24.65800095,25.91200066,25.698999399999998,74.28099823,49.64400101,1.7765213830000002,6.3210604120000005,4.453584566,8258.641666,2.1830740730000002,40572833197.0,18000,1080713,150.0055899,14999,34.11294602,61.66317964,4.223874346000001,0.0,2254126,2047,68.80400085,73.86100006,77,8.84,18,5.269,1138,54.03,12179,40,40,40,20,80,60,20,20,20,20,0,40,40,60,20,0,0,20,4225,38000,5.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,High
Brazil,BRA,BRA,Latin America & Caribbean,Upper middle income,South America,3.4,4.8,2.9,3.6,Medium,13.9,10.4,4.098999977,13.01799965,27.90799952,26.68000031,85.42500305,60.30199814,14.91053848,18.28999562,1.11758735,8920.762105,0.328077907,3320000000000.0,15850,106500376,98.84349987,106000,21.33407191,69.74309026,8.922837832,11.93929493,209469333,11327,73.00499725,63.0530014,88,6.78,22,21.643,453351,101.19,2119620,100,100,100,100,100,100,100,100,100,20,100,40,20,60,80,60,60,100,1550,46778,587.99,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,Low
Bulgaria,BGR,BGR,Europe & Central Asia,Upper middle income,Eastern Europe,2.7,3.8,3.3,3.2,Low,2.2,6.0,4.100999832,8.373000145,7.793999791,36.96400070000001,73.65299988,54.662998200000004,27.0001679,15.88846119,3.081157234,9272.629304,3.840315458,157000000000.0,22300,3292122,118.9396801,-24001,14.59546532,64.38262025,21.02191443,24.1504015,7025037,19918,91.53099823,85.84400177,86,10.95,68,40.332,29038,48.156000000000006,31397,100,60,40,100,100,60,40,60,40,40,80,80,80,60,40,60,40,40,600,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,Low
Burkina Faso,BFA,BFA,Sub-Saharan Africa,Low income,Western Africa,7.7,6.1,6.9,6.9,Very High,56.3,7.3,17.1420002,31.375,86.41899872,33.69599915,49.14899826,34.9280014,0.06995936400000001,0.388629381,6.8323881029999995,715.122904,3.812912022,38940578794.0,1970,7468061,97.91227142,-125000,44.94808132,52.64493785,2.406980829,43.65461583,19751535,25122,9.711999893,15.33100033,19,11.16,4,0.847,1626,8.829,10376,100,60,40,20,60,80,60,80,20,60,20,40,20,60,40,40,20,20,0,0,2325.9,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Burundi,BDI,BDI,Sub-Saharan Africa,Low income,Eastern Africa,7.0,6.3,7.3,6.9,Very High,55.8,5.1,95.98600006,87.71600342,94.58099747,2.635999918,3.625999928,9.647999763,0.03521135,0.222005993,1.609933082,271.7520444,-1.557407354,8330508692.0,750,4983536,56.53470747,10003,45.50168075,52.25137879,2.24694046,61.72640975,11175378,71507,3.1389999389999996,7.7449998860000004,46,13.19,8,1.001,1084,8.526,9071,20,40,40,60,60,80,60,60,40,20,0,40,40,40,40,40,40,40,27532,13715,1842.91,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Cabo Verde,CPV,CPV,Sub-Saharan Africa,Lower middle income,Western Africa,4.7,3.7,4.6,4.3,Medium,19.5,2.4,6.275000095,15.61200047,35.16800022,30.73500061,82.65399933,53.65299988,2.879358255,11.52699594,5.077550829,3635.40685,3.865935847,3957666044.0,7280,238193,112.2407207,-6709,28.77776695,66.6129059,4.609327157,0.0,543767,0,51.73500061,68.64099884,74,11.73,21,7.814,410,12.982999999999999,706,60,60,60,40,100,60,60,40,40,40,40,40,40,80,40,40,40,40,0,0,0.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,Medium
Cambodia,KHM,KHM,East Asia & Pacific,Low income,South-Eastern Asia,4.9,4.9,5.8,5.2,High,25.6,6.4,34.40399933,30.32699966,50.27900171,30.51300049,38.212001799999996,39.15999985,1.022782322,0.54251156,7.497963508,1510.324871,5.90774125,66085615275.0,4070,9350757,119.4915172,-149999,31.20141476,64.22990522,4.568680018,51.37027914,16249798,61,41.54499817,57.21099854,59,6.13,8,1.9269999999999998,2944,6.855,11140,40,80,20,60,60,80,80,20,20,60,20,20,40,40,60,60,40,60,5817,870000,87.16,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Medium,Medium,High
Cameroon,CMR,CMR,Sub-Saharan Africa,Lower middle income,Middle Africa,7.0,6.0,6.1,6.4,High,53.9,6.0,47.94499969,39.47399902,73.56200123,18.21199989,40.81299973,42.31499863,0.07133093900000001,3.5780593539999996,4.062405319,1533.74214,1.3791919819999998,93424876351.0,3700,11346288,73.19019901,-24000,42.63157984,54.639542799999994,2.728877355,25.71616516,25216237,380329,14.24499989,31.34199905,39,4.26,13,0.8809999999999999,1842,0.057999999999999996,0,20,40,20,60,80,60,60,60,40,40,20,40,40,20,20,40,20,20,942,0,4026.21,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Very High,High,High
Canada,CAN,CAN,North America,High income: OECD,Northern America,2.4,4.0,1.3,2.3,Low,5.6,7.6,0.904999971,1.94599998,10.69100039,29.51199913,90.70200348,68.54100037,38.96365923,37.33557257,1.8969747559999999,46232.98962,0.47106597100000003,1760000000000.0,47590,20466131,89.58002255,1210159,15.87025087,66.89774245,17.23200668,20.16051715,37057765,114109,87.92500305,81.82700348,99,18.77,27,23.105,84063,99.43799999999999,368664,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7930,19500,-6.89,2.5999999999999996,4.1,1.4,2.45,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Central African Republic,CAF,CAF,Sub-Saharan Africa,Low income,Middle Africa,5.5,8.0,8.7,7.3,Very High,63.7,6.0,81.31700134,73.95800018,91.37900162,7.69299984,15.99600029,18.34799957,0.013029405,0.046995865,3.789443593,475.7212505,2.224742848,4312284264.0,920,1915442,27.41449024,-200000,44.29432055,52.87990574,2.8257737069999997,44.08589783,4666377,6655,3.8380000589999996,10.5170002,25,14.17,10,0.721,324,2.063,322,0,0,0,0,40,60,20,0,20,40,0,40,0,20,0,20,20,20,119,20000,7515.35,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,Very High,Very High
Chad,TCD,TCD,Sub-Saharan Africa,Low income,Middle Africa,7.1,7.2,8.2,7.5,Very High,63.4,6.0,74.88300323,77.95999908,93.02399826,3.375999928,24.53899956,18.66399956,0.0021579389999999998,0.058380657999999995,2.641330034,728.3432353999999,-0.415664166,29914265719.0,1930,5995275,45.12373876,10000,47.12629999,50.39318107,2.480518944,37.06005719,15477751,451210,1.088000059,11.48799992,8,8.97,4,0.434,651,2.322,3487,20,20,40,20,40,80,60,40,40,20,20,40,20,20,20,20,20,20,4227,460,6363.27,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,Very High,Very High
Chile,CHL,CHL,Latin America & Caribbean,High income: OECD,South America,3.7,3.6,2.7,3.3,Low,8.1,8.6,4.958000183,11.92599964,22.69400036,30.91600037,85.00299835,57.15800095,17.35624022,16.00281059,4.024652965,15923.358740000001,2.587676494,453000000000.0,24190,9558222,134.43732130000004,558539,19.75390247,68.71629587,11.52980166,40.73396454,18729160,2033,74.60700226,71.92700195,100,15.88,22,25.912,48531,133.248,236427,80,60,100,80,100,80,80,60,60,80,80,40,60,100,60,100,40,80,0,1392,18.51,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Medium,Low
China,CHN,CHN,East Asia & Pacific,Upper middle income,Eastern Asia,4.5,4.5,2.2,3.5,Medium,3.8,9.2,22.63500023,27.50499916,45.37799931,30.481000899999998,52.06900024,42.01399994,28.53518942,13.454649100000001,6.56697386,9770.847087999999,6.082241155,25300000000000.0,18170,780839528,115.5258122,-1741996,17.87700275,71.20211371,10.92088354,3.1052779060000004,1392730000,321756,50.4090004,55.48500061,85,10.43,42,19.798,2828999,26.621,3804021,100,100,80,100,100,100,100,100,80,80,80,80,100,100,80,100,100,80,8338124,5343783,0.28,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
Colombia,COL,COL,Latin America & Caribbean,Upper middle income,South America,4.1,5.9,3.6,4.4,Medium,10.1,7.4,7.732999802,22.91699982,47.05699992,23.73699951,77.55000305,53.34500122,13.44825224,14.04233958,2.569220988,6667.7907,1.024714856,719000000000.0,14480,26788369,129.9086097,1023981,23.07789598,68.444057,8.47804702,26.36666827,49648685,310,51.17499924,47.11299896,90,18.14,15,21.848000000000003,108499,13.309000000000001,66095,100,60,80,60,80,80,40,60,40,80,80,80,80,40,40,100,100,60,60000,119536,4661.03,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Medium
Comoros,COM,COM,Sub-Saharan Africa,Low income,Eastern Africa,6.4,5.3,7.6,6.4,High,47.4,12.3,55.69800186,46.52500153,63.70999908,15.36900043,34.50400162,38.10599899,0.18394323399999998,1.239904748,3.430764136,1415.2636220000002,1.140509904,2438908249.0,2930,223763,59.94110452,-10000,39.53842383,57.45456686,3.007009306,0.0,832322,0,17.82999992,41.07600021,36,8.66,22,2.715,216,6.285,0,20,60,0,20,20,60,20,20,60,40,0,0,0,0,40,20,0,20,0,345311,49.37,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,High,High,Very High
"Congo, Rep.",COG,COG,Sub-Saharan Africa,Lower middle income,Middle Africa,5.9,5.5,6.5,6.0,High,55.5,6.0,33.58300018,34.64799881,75.97800112,22.5529995,45.29499817,42.79800034,0.010555257,0.33263577699999997,1.025554207,2147.769461,-1.5492440280000002,26541515900.0,5060,2184140,95.34053637,-20000,41.76350246,55.554778000000006,2.681719539,63.53636234,5244363,37494,8.772000313,36.39199829,20,8.71,16,1.645,723,6.271,3289,20,60,20,40,20,60,40,60,20,20,20,20,20,20,40,20,20,20,0,196246,426.42,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,High,Very High
