"Country","Year","Skilled health professionals density (per 10 000 population)"
"Seychelles"," 2012","54.17"
"Sierra Leone"," 2010","3.42"
"Singapore"," 2016","93.97"
"Singapore"," 2013","75.6"
"Slovakia"," 2015","94.69"
"Slovakia"," 2013","94.6"
"Slovenia"," 2015","116.60"
"Slovenia"," 2014","113.8"
"Solomon Islands"," 2013","19.71"
"Solomon Islands"," 2011","22.1"
"Somalia"," 2014","1.08"
"South Africa"," 2016","60.46"
"South Africa"," 2015","58.8"
"Spain"," 2015","91.96"
"Spain"," 2014","91.8"
"Sri Lanka"," 2015","36.75"
"Sri Lanka"," 2010","24.8"
"Sudan"," 2014","42.2"
"Sudan"," 2008","16.35"
"Sweden"," 2014","160.64"
"Sweden"," 2013","160.0"
"Switzerland"," 2016","223.02"
"Switzerland"," 2014","219.3"
"Syrian Arab Republic"," 2014","38.48"
"Tajikistan"," 2014","69.89"
"Thailand"," 2015","27.64"
"Thailand"," 2010","24.7"
"Timor-Leste"," 2011","15.12"
"Togo"," 2008","3.58"
"Tonga"," 2010","44.83"
"Trinidad and Tobago"," 2011","51.02"
"Trinidad and Tobago"," 2007","47.5"
"Tunisia"," 2015","39.59"
"Tunisia"," 2014","48.4"
"Turkey"," 2014","44.05"
"Turkmenistan"," 2014","70.61"
"Tuvalu"," 2009","77.50"
"Uganda"," 2015","7.42"
"Uganda"," 2005","14.6"
"Ukraine"," 2014","100.38"
"United Arab Emirates"," 2014","46.19"
"United Kingdom of Great Britain and Northern Ireland"," 2016","112.46"
"United Kingdom of Great Britain and Northern Ireland"," 2015","112.4"
"United Republic of Tanzania"," 2014","4.38"
"United Republic of Tanzania"," 2012","4.6"
"United States of America"," 2014","117.30"
"United States of America"," 2013","117.8"
"Uruguay"," 2008","97.86"
"Uzbekistan"," 2014","149.47"
"Vanuatu"," 2012","24.04"
"Viet Nam"," 2016","22.55"
"Viet Nam"," 2013","24.1"
"Yemen"," 2014","10.68"
"Zambia"," 2016","9.76"
"Zambia"," 2012","8.3"
"Zimbabwe"," 2014","12.44"
"Zimbabwe"," 2011","12.7"
