Country Name,Country Code,BX.TRF.PWKR.CD.DT_2018
Latin America & Caribbean,LCN,90187237200
Least developed countries: UN classification,LDC,49518156118
Low income,LIC,29127884673
Liechtenstein,LIE,
Sri Lanka,LKA,7043039552
Lower middle income,LMC,2.95735E+11
Low & middle income,LMY,4.91228E+11
Lesotho,LSO,629379095.6
Late-demographic dividend,LTE,1.32546E+11
Lithuania,LTU,1386978491
Luxembourg,LUX,2063159712
Latvia,LVA,1237349320
"Macao SAR, China",MAC,22801205.46
St. Martin (French part),MAF,
Morocco,MAR,6918197476
Monaco,MCO,
Moldova,MDA,1837620000
Madagascar,MDG,425502225.7
Maldives,MDV,4217838.309
Middle East & North Africa,MEA,59209179984
Mexico,MEX,35768416627
Marshall Islands,MHL,31450053
Middle income,MIC,4.621E+11
North Macedonia,MKD,344454462
Mali,MLI,1022074241
Malta,MLT,276493697.6
Myanmar,MMR,2840459625
Middle East & North Africa (excluding high income),MNA,57124410561
Montenegro,MNE,588907941.6
Mongolia,MNG,440554140.3
Northern Mariana Islands,MNP,
Mozambique,MOZ,296070198.9
Mauritania,MRT,60391856.66
Mauritius,MUS,244699351.4
Malawi,MWI,181590994.7
Malaysia,MYS,1685623019
North America,NAC,9463931011
Namibia,NAM,53670691.33
New Caledonia,NCL,621059984
Niger,NER,296677560
Nigeria,NGA,24311022416
Nicaragua,NIC,1504800000
Netherlands,NLD,2492057843
Norway,NOR,644347130.3
Nepal,NPL,8293841343
Nauru,NRU,6535565.314
New Zealand,NZL,452514256.4
OECD members,OED,1.74105E+11
Oman,OMN,39011703.51
Other small states,OSS,4654855951
Pakistan,PAK,21194000000
Panama,PAN,537877200
Peru,PER,3224754055
Philippines,PHL,33808967986
Palau,PLW,2180000
Papua New Guinea,PNG,2875318.452
Poland,POL,7112000000
Pre-demographic dividend,PRE,41549496899
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,503789178.4
Paraguay,PRY,682869965.8
West Bank and Gaza,PSE,2482392594
Pacific island small states,PSS,755385863
Post-demographic dividend,PST,1.48714E+11
French Polynesia,PYF,581559968
Qatar,QAT,467032967
Romania,ROU,6983986125
Russian Federation,RUS,8610210000
Rwanda,RWA,260527797.5
South Asia,SAS,1.31749E+11
Saudi Arabia,SAU,334914666.7
Sudan,SDN,425214350.6
Senegal,SEN,2427531906
Singapore,SGP,
Solomon Islands,SLB,19331180.19
Sierra Leone,SLE,62085874.74
El Salvador,SLV,5388142174
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,4323832955
Sub-Saharan Africa (excluding high income),SSA,48265167913
South Sudan,SSD,1267160000
Sub-Saharan Africa,SSF,48287881607
Small states,SST,8823552006
Sao Tome and Principe,STP,17776130.48
Suriname,SUR,519054.0965
Slovak Republic,SVK,2114125126
Slovenia,SVN,608128533
Sweden,SWE,3145713823
Eswatini,SWZ,125680415.4
Sint Maarten (Dutch part),SXM,50949720.67
Seychelles,SYC,22713694.64
Syrian Arab Republic,SYR,1622540000
Turks and Caicos Islands,TCA,7481920
Chad,TCD,
East Asia & Pacific (IDA & IBRD countries),TEA,1.0022E+11
Europe & Central Asia (IDA & IBRD countries),TEC,74936937302
Togo,TGO,495210300
Thailand,THA,7463334346
Tajikistan,TJK,2183340531
Turkmenistan,TKM,1601946.295
Latin America & the Caribbean (IDA & IBRD countries),TLA,89827847805
Timor-Leste,TLS,96320932.13
Middle East & North Africa (IDA & IBRD countries),TMN,54642017967
Tonga,TON,183293154.3
South Asia (IDA & IBRD),TSA,1.31749E+11
Sub-Saharan Africa (IDA & IBRD countries),TSS,48287881607
Trinidad and Tobago,TTO,138708322.6
Tunisia,TUN,1902286981
Turkey,TUR,1122000000
Tuvalu,TUV,4043830.047
Tanzania,TZA,412910078
Uganda,UGA,1230414827
Ukraine,UKR,14694000000
Upper middle income,UMC,1.66365E+11
Uruguay,URY,104268963.5
United States,USA,6668000000
Uzbekistan,UZB,7609613692
St. Vincent and the Grenadines,VCT,46770931.63
"Venezuela, RB",VEN,297082484.5
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,15933968170
Vanuatu,VUT,35218649.8
World,WLD,6.37439E+11
Samoa,WSM,147363459.2
Kosovo,XKX,1235727932
"Yemen, Rep.",YEM,3350500096
South Africa,ZAF,929043381.1
Zambia,ZMB,106965625.9
Zimbabwe,ZWE,1856034930
