Country Name,Country Code,NY.GNP.MKTP.PP.CD_2018
Malta,MLT,18970477590
Myanmar,MMR,3.48883E+11
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,13028020426
Mongolia,MNG,39615513066
Northern Mariana Islands,MNP,
Mozambique,MOZ,42190600845
Mauritania,MRT,18143701631
Mauritius,MUS,32999567208
Malawi,MWI,23721084484
Malaysia,MYS,9.66321E+11
North America,NAC,2.26062E+13
Namibia,NAM,26622744602
New Caledonia,NCL,
Niger,NER,23333784351
Nigeria,NGA,1.11933E+12
Nicaragua,NIC,34932852076
Netherlands,NLD,9.80234E+11
Norway,NOR,3.63002E+11
Nepal,NPL,87426530266
Nauru,NRU,266074288.6
New Zealand,NZL,1.92544E+11
OECD members,OED,5.97989E+13
Oman,OMN,2.01294E+11
Other small states,OSS,8.11691E+11
Pakistan,PAK,1.24442E+12
Panama,PAN,98382996783
Peru,PER,4.38563E+11
Philippines,PHL,1.1455E+12
Palau,PLW,349397906
Papua New Guinea,PNG,36334539993
Poland,POL,1.13982E+12
Pre-demographic dividend,PRE,3.53593E+12
Puerto Rico,PRI,85010140010
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,3.36012E+11
Paraguay,PRY,91937085253
West Bank and Gaza,PSE,27425091369
Pacific island small states,PSS,15228109568
Post-demographic dividend,PST,5.46052E+13
French Polynesia,PYF,
Qatar,QAT,3.46082E+11
Romania,ROU,5.35861E+11
Russian Federation,RUS,3.94983E+12
Rwanda,RWA,27114274315
South Asia,SAS,1.28341E+13
Saudi Arabia,SAU,1.88168E+12
Sudan,SDN,1.85139E+11
Senegal,SEN,58244252482
Singapore,SGP,5.33816E+11
Solomon Islands,SLB,1512823389
Sierra Leone,SLE,11395485370
El Salvador,SLV,50474288600
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,1.15464E+11
Sub-Saharan Africa (excluding high income),SSA,4.1462E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,4.14902E+12
Small states,SST,9.39579E+11
Sao Tome and Principe,STP,725635667.6
Suriname,SUR,7962399294
Slovak Republic,SVK,1.80088E+11
Slovenia,SVN,77420947580
Sweden,SWE,5.50245E+11
Eswatini,SWZ,12086620030
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,2817800990
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,925880320.1
Chad,TCD,29914265719
East Asia & Pacific (IDA & IBRD countries),TEA,3.32974E+13
Europe & Central Asia (IDA & IBRD countries),TEC,1.01791E+13
Togo,TGO,14045237826
Thailand,THA,1.26331E+12
Tajikistan,TJK,36868771430
Turkmenistan,TKM,1.08189E+11
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.00519E+13
Timor-Leste,TLS,8882959384
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,672520859.6
South Asia (IDA & IBRD),TSA,1.28341E+13
Sub-Saharan Africa (IDA & IBRD countries),TSS,4.14902E+12
Trinidad and Tobago,TTO,43062735710
Tunisia,TUN,1.39615E+11
Turkey,TUR,2.27527E+12
Tuvalu,TUV,70150490.19
Tanzania,TZA,1.71666E+11
Uganda,UGA,84316598286
Ukraine,UKR,3.81804E+11
Upper middle income,UMC,4.98264E+13
Uruguay,URY,75681182396
United States,USA,2.08373E+13
Uzbekistan,UZB,2.90472E+11
St. Vincent and the Grenadines,VCT,1340595264
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6.61781E+11
Vanuatu,VUT,951251025.5
World,WLD,1.35908E+14
Samoa,WSM,1226825736
Kosovo,XKX,21293206591
"Yemen, Rep.",YEM,
South Africa,ZAF,7.65828E+11
Zambia,ZMB,71188082112
Zimbabwe,ZWE,43554746133
