Country Name,Country Code,NY.GDP.MKTP.KD.ZG_2018
IDA total,IDA,4.335031194
IDA blend,IDB,3.614215937
Indonesia,IDN,5.171270328
IDA only,IDX,5.051563896
Isle of Man,IMN,
India,IND,6.811369326
Not classified,INX,
Ireland,IRL,8.169870933
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,-0.562745503
Iceland,ISL,4.61147603
Israel,ISR,3.453702518
Italy,ITA,0.774340013
Jamaica,JAM,1.940878147
Jordan,JOR,1.940292205
Japan,JPN,0.788455876
Kazakhstan,KAZ,4.1
Kenya,KEN,6.319781364
Kyrgyz Republic,KGZ,3.5
Cambodia,KHM,7.497963508
Kiribati,KIR,2.001036031
St. Kitts and Nevis,KNA,2.923938817
"Korea, Rep.",KOR,2.668311402
Kuwait,KWT,1.246015947
Latin America & Caribbean (excluding high income),LAC,1.459449446
Lao PDR,LAO,6.247960008
Lebanon,LBN,0.199990636
Liberia,LBR,1.222551313
Libya,LBY,7.949736798
St. Lucia,LCA,0.85713557
Latin America & Caribbean,LCN,1.493808276
Least developed countries: UN classification,LDC,4.22771438
Low income,LIC,4.952342246
Liechtenstein,LIE,
Sri Lanka,LKA,3.209131128
Lower middle income,LMC,5.487821069
Low & middle income,LMY,4.57463127
Lesotho,LSO,1.134188171
Late-demographic dividend,LTE,4.820545015
Lithuania,LTU,3.644756532
Luxembourg,LUX,3.110836266
Latvia,LVA,4.62077695
"Macao SAR, China",MAC,5.442542619
St. Martin (French part),MAF,
Morocco,MAR,2.99021417
Monaco,MCO,6.1
Moldova,MDA,3.4
Madagascar,MDG,4.564792315
Maldives,MDV,6.888817196
Middle East & North Africa,MEA,2.337762668
Mexico,MEX,2.135958121
Marshall Islands,MHL,3.62475276
Middle income,MIC,4.569315001
North Macedonia,MKD,2.664591889
Mali,MLI,4.899995745
Malta,MLT,6.772328111
Myanmar,MMR,6.200051072
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,5.077860201
Mongolia,MNG,7.225848899
Northern Mariana Islands,MNP,-19.60784314
Mozambique,MOZ,3.428173661
Mauritania,MRT,3.554277984
Mauritius,MUS,3.773818913
Malawi,MWI,3.5
Malaysia,MYS,4.74160645
North America,NAC,2.827113773
Namibia,NAM,-0.546332045
New Caledonia,NCL,
Niger,NER,6.483066704
Nigeria,NGA,1.937268069
Nicaragua,NIC,-3.816060103
Netherlands,NLD,2.597453618
Norway,NOR,1.289548201
Nepal,NPL,6.657532668
Nauru,NRU,5.7
New Zealand,NZL,2.773571015
OECD members,OED,2.250842061
Oman,OMN,1.764087549
Other small states,OSS,2.139432142
Pakistan,PAK,5.830241905
Panama,PAN,3.677013629
Peru,PER,3.976935718
Philippines,PHL,6.243737742
Palau,PLW,1.705518583
Papua New Guinea,PNG,-0.820774238
Poland,POL,5.148018484
Pre-demographic dividend,PRE,1.987983107
Puerto Rico,PRI,-4.905626153
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.441266929
Paraguay,PRY,3.676623231
West Bank and Gaza,PSE,0.905278232
Pacific island small states,PSS,2.654473872
Post-demographic dividend,PST,2.154738493
French Polynesia,PYF,
Qatar,QAT,1.493339993
Romania,ROU,3.953810542
Russian Federation,RUS,2.254804346
Rwanda,RWA,8.606705998
South Asia,SAS,6.663291106
Saudi Arabia,SAU,2.434110778
Sudan,SDN,-2.320827321
Senegal,SEN,6.766293824
Singapore,SGP,3.139464543
Solomon Islands,SLB,3.85471177
Sierra Leone,SLE,3.446162621
El Salvador,SLV,2.538949798
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,4.392237239
Sub-Saharan Africa (excluding high income),SSA,2.386729268
South Sudan,SSD,
Sub-Saharan Africa,SSF,2.387689382
Small states,SST,2.029842304
Sao Tome and Principe,STP,2.657693757
Suriname,SUR,1.9
Slovak Republic,SVK,4.033703043
Slovenia,SVN,4.118217859
Sweden,SWE,2.225238612
Eswatini,SWZ,2.35100982
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,3.627351583
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,5.282085494
Chad,TCD,2.641330034
East Asia & Pacific (IDA & IBRD countries),TEA,6.295084971
Europe & Central Asia (IDA & IBRD countries),TEC,3.151379091
Togo,TGO,4.91014754
Thailand,THA,4.129226103
Tajikistan,TJK,7.300000287
Turkmenistan,TKM,6.199999941
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.593490441
Timor-Leste,TLS,2.813982292
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,0.299994245
South Asia (IDA & IBRD),TSA,6.663291106
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.387689382
Trinidad and Tobago,TTO,-0.245213697
Tunisia,TUN,2.482826838
Turkey,TUR,2.82677612
Tuvalu,TUV,2.5
Tanzania,TZA,5.444967632
Uganda,UGA,6.152354913
Ukraine,UKR,3.335489309
Upper middle income,UMC,4.281875546
Uruguay,URY,1.620083629
United States,USA,2.927322728
Uzbekistan,UZB,5.122118113
St. Vincent and the Grenadines,VCT,2.163128944
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,7.075788617
Vanuatu,VUT,3.2
World,WLD,3.052659227
Samoa,WSM,-2.168099125
Kosovo,XKX,3.813313541
"Yemen, Rep.",YEM,-2.701474865
South Africa,ZAF,0.78705557
Zambia,ZMB,3.794900917
Zimbabwe,ZWE,6.159189798
